johnlewisweeklydistro.site	johnlewisweeklydistro.country	johnlewisweeklydistro.weekbegins	johnlewisweeklydistro.weekends	johnlewisweeklydistro.direct	johnlewisweeklydistro.displayads	johnlewisweeklydistro.mail	johnlewisweeklydistro.organic_search	johnlewisweeklydistro.paid_search	johnlewisweeklydistro.referrals	johnlewisweeklydistro.social	johnlewisweeklydistro.visits
jaeger.co.uk*	WorldWide	08.06.2017	08.12.2017	0.27668952007835457	0.0	0.10284035259549462	0.23996082272282077	0.09427032321253673	0.21253672869735551	0.0737022526934378	20335.826876308198
bathstore.com*	WorldWide	08.06.2017	08.12.2017	0.08054226475279108	0.0	0.04784688995215312	0.6738437001594898	0.08213716108452952	0.09170653907496014	0.02392344497607656	44647.44648147255
dabs.com*	WorldWide	08.06.2017	08.12.2017	0.0	0.0	0.0	1.0	0.0	0.0	0.0	997.826927513597
ebuyer.com*	WorldWide	08.06.2017	08.12.2017	0.3337275895968829	0.0075112259262537255	0.031173758468498118	0.22835119215603397	0.12321883918328362	0.25426523172654425	0.02175216294250356	688682.0202583139
habitat.co.uk*	WorldWide	08.06.2017	08.12.2017	0.19299743808710504	0.007472245943637917	0.049316823228010245	0.5409906063193851	0.06974096214062056	0.11955593509820667	0.019925989183034443	77253.05197579463
josephjoseph.com*	WorldWide	08.06.2017	08.12.2017	0.11698880976602238	0.0	0.0762970498474059	0.4384537131230926	0.05595116988809766	0.08646998982706003	0.2258392675483215	28240.529416468125
fisherpaykel.com*	WorldWide	08.06.2017	08.12.2017	0.16306437061154042	0.0027458518024555765	0.0757855097477739	0.5315969089553996	0.03295022162946692	0.15925940454242343	0.03459773271094026	46523.894016426944
newlook.com*	WorldWide	08.06.2017	08.12.2017	0.2820872119977705	0.01655475623668405	0.05152394397012018	0.34161244784314143	0.07121462319436994	0.1924138793242659	0.04459313743364814	905533.2059822385
swooneditions.com*	WorldWide	08.06.2017	08.12.2017	0.3705220061412488	0.0	0.015353121801432959	0.33572159672466734	0.09723643807574207	0.1269191402251791	0.05424769703172979	35734.382952234475
jdsports.co.uk*	WorldWide	08.06.2017	08.12.2017	0.27083617399297305	0.023253631213927935	0.030591867293733057	0.3602406802813426	0.08681990998314897	0.13945938731690263	0.0887983499179725	534871.3536485006
furniturevillage.co.uk*	WorldWide	08.06.2017	08.12.2017	0.11592994161801501	0.0	0.06255212677231026	0.6105087572977482	0.1334445371142619	0.0567139282735613	0.02085070892410342	46933.726961858665
lighting-direct.co.uk*	WorldWide	08.06.2017	08.12.2017	0.18372093023255812	0.0	0.0	0.541860465116279	0.11627906976744186	0.06976744186046512	0.08837209302325581	16475.260273183594
riverisland.com*	WorldWide	08.06.2017	08.12.2017	0.21167748674955753	0.018263522468184606	0.050452980818359985	0.43097564567185154	0.03804900514205126	0.20031862335734538	0.05026273579264972	381327.6780779156
shop.mango.com#	WorldWide	08.06.2017	08.12.2017	0.3092172183417424	0.0158906052768899	0.05029975925653833	0.34857353353408727	0.11907196294520592	0.13080579919873697	0.02614112144679857	1380453.9755277603
sofology.co.uk*	WorldWide	08.06.2017	08.12.2017	0.05797101449275364	0.0	0.1422924901185771	0.45981554677206854	0.2213438735177866	0.08563899868247696	0.03293807641633729	30429.278936401195
sweatybetty.com*	WorldWide	08.06.2017	08.12.2017	0.25000000000000006	0.04651162790697675	0.017441860465116282	0.3558139534883722	0.12209302325581398	0.1674418604651163	0.04069767441860466	29819.32099386831
blinds-2go.co.uk*	WorldWide	08.06.2017	08.12.2017	0.1341330425299891	0.02181025081788441	0.1079607415485278	0.2933478735005453	0.3140676117775355	0.11232279171210471	0.016357688113413305	33280.66037363684
toysrus.co.uk*	WorldWide	08.06.2017	08.12.2017	0.19138119650786156	0.007078658915892661	0.007078658915892661	0.6394388554023037	0.07031467856453377	0.06347197494583753	0.021235976747677982	159425.99148655552
currys.co.uk*	WorldWide	08.06.2017	08.12.2017	0.221149516476727	0.014086531068774616	0.02540557076843831	0.4817846653303238	0.13018279400297797	0.10379278701895592	0.023598135333802287	1596788.8598168828
