countryname	country	mobile	domain	ga:month	ga:year	ga:devicecategory	ga:sessions	>100k
Germany	276	1	decleor.de	4	2017	mobile	1018	0
Germany	276	1	decleor.de	5	2017	mobile	1011	0
Germany	276	1	decleor.de	10	2016	mobile	155	0
Germany	276	1	decleor.de	11	2016	mobile	1169	0
Germany	276	1	decleor.de	12	2016	mobile	1311	0
Germany	276	1	essie.de	1	2017	mobile	86578	0
Germany	276	1	essie.de	2	2017	mobile	69212	0
Germany	276	1	essie.de	3	2017	mobile	52867	0
Germany	276	1	essie.de	4	2017	mobile	78599	0
Germany	276	1	essie.de	5	2017	mobile	76623	0
Germany	276	1	essie.de	7	2016	mobile	12701	0
Germany	276	1	essie.de	8	2016	mobile	80666	0
Germany	276	1	essie.de	9	2016	mobile	66154	0
Germany	276	1	essie.de	10	2016	mobile	83387	0
Germany	276	1	essie.de	11	2016	mobile	98992	0
Germany	276	1	essie.de	12	2016	mobile	206949	1
Germany	276	1	garnier.de	1	2017	mobile	379730	1
Germany	276	1	garnier.de	2	2017	mobile	357548	1
Germany	276	1	garnier.de	3	2017	mobile	256377	1
Germany	276	1	garnier.de	4	2017	mobile	424854	1
Germany	276	1	garnier.de	5	2017	mobile	556335	1
Germany	276	1	garnier.de	7	2016	mobile	112775	1
Germany	276	1	garnier.de	8	2016	mobile	843958	1
Germany	276	1	garnier.de	9	2016	mobile	661498	1
Germany	276	1	garnier.de	10	2016	mobile	666596	1
Germany	276	1	garnier.de	11	2016	mobile	485347	1
Germany	276	1	garnier.de	12	2016	mobile	835860	1
Germany	276	1	kerastase.de	1	2017	mobile	18158	0
Germany	276	1	kerastase.de	2	2017	mobile	19979	0
Germany	276	1	kerastase.de	3	2017	mobile	19721	0
Germany	276	1	kerastase.de	4	2017	mobile	8467	0
Germany	276	1	kerastase.de	5	2017	mobile	18072	0
Germany	276	1	larocheposay.de	1	2017	mobile	117169	1
Germany	276	1	larocheposay.de	2	2017	mobile	121750	1
Germany	276	1	larocheposay.de	3	2017	mobile	217368	1
Germany	276	1	larocheposay.de	4	2017	mobile	151187	1
Germany	276	1	larocheposay.de	5	2017	mobile	138387	1
Germany	276	1	lorealprofessionnel.de	1	2017	mobile	18929	0
Germany	276	1	lorealprofessionnel.de	2	2017	mobile	17982	0
Germany	276	1	lorealprofessionnel.de	3	2017	mobile	21421	0
Germany	276	1	lorealprofessionnel.de	4	2017	mobile	57707	0
Germany	276	1	lorealprofessionnel.de	5	2017	mobile	23406	0
Russia	643	1	carita.com.ru	1	2016	mobile	1054	0
Russia	643	1	carita.com.ru	1	2017	mobile	713	0
Russia	643	1	carita.com.ru	2	2016	mobile	1144	0
Russia	643	1	carita.com.ru	2	2017	mobile	772	0
Russia	643	1	carita.com.ru	3	2016	mobile	1483	0
Russia	643	1	carita.com.ru	3	2017	mobile	829	0
Russia	643	1	carita.com.ru	4	2016	mobile	1429	0
