app	devices	source	users	sessions	usagetime	qualified_active_users	year	month	day
com.venmo	528	5482	36	54	10972.103	329	17	4	18
com.venmo	10	971	0	0	0	3	17	4	15
com.venmo	20	655	0	0	0	12	17	4	22
com.venmo	3	5160	1	2	40.075	2	17	4	15
com.venmo	72	5497	1	1	35.002	28	17	4	15
com.venmo	517	960	11	18	2054.676	307	17	4	18
com.venmo	29	5149	0	0	0	16	17	4	17
com.venmo	21	5072	0	0	0	16	17	4	15
com.venmo	2	650	0	0	0	0	17	4	15
com.venmo	17	902	1	4	154.499	4	17	4	15
com.venmo	1510	5220	58	96	16307.903	705	17	4	17
com.venmo	505	960	16	26	1460.431	304	17	4	17
com.venmo	3	656	0	0	0	1	17	4	15
com.venmo	2	5179	0	0	0	0	17	4	15
com.venmo	30	5048	0	0	0	7	17	4	15
com.venmo	2	5126	0	0	0	2	17	4	15
